128,Nature Reviews Rheumatology,"12,069",20.543,0.01862,32034323,32055040,32327746,32499548,32561873,33024295,33093664,33116279,33208917,33339986
129,FUNGAL DIVERSITY,"5,535",20.372,0.00515,22408574,22737101,22956918,23097638,23794962,26877720,27274717,27284275,27818618,33364917
130,TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,0.03627,28625353,29031663,30266146,30528612,30711326,30777641,31375408,31427147,31982302,32561254
130,TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,0.03627,28625353,29031663,30266146,30528612,30711326,30777641,31375408,31427147,31982302,32561254
132,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"4,133",20.217,0.00144,,,,,,,,,,
133,Advances in Optics and Photonics,"3,117",20.107,0.00505,25530827,26973759,27182429,,,,,,,
134,EUROPEAN UROLOGY,"42,109",20.096,0.06226,32593530,32654801,32798146,32907777,33039206,33172721,33172724,33309278,33357997,33419683
135,Nature Physics,"44,499",20.034,0.09277,27182278,29910827,31485254,31867047,31915458,32273899,32288779,32904282,33329756,34408786
136,ENDOCRINE REVIEWS,"17,082",19.871,0.01182,24423978,27159875,30184160,30649221,30994890,31081877,31322645,32266384,32294179,32393961
137,Annual Review of Entomology,"16,059",19.686,0.00764,19725772,19961327,25564745,26982437,28146636,30312553,30629891,31594415,31610134,33417817
138,INTERNATIONAL MATERIALS REVIEWS,"7,219",19.559,0.00441,,,,,,,,,,
139,TRENDS IN BIOTECHNOLOGY,"20,693",19.536,0.01817,29550160,29764691,29945725,30497870,30654913,30654914,30995964,31980301,32620324,32818441
140,APPLIED CATALYSIS B-ENVIRONMENTAL,"123,618",19.503,0.12707,25931774,28592914,28713204,29861551,30532348,30886458,32288264,32292243,32831482,33424127
141,Nature Sustainability,"4,664",19.346,0.01337,31111102,31858022,31942455,32064360,32219187,32219188,32572385,32845942,33134558,33623828
141,Nature Sustainability,"4,664",19.346,0.01337,31111102,31858022,31942455,32064360,32219187,32219188,32572385,32845942,33134558,33623828
143,Annual Review of Physiology,"11,515",19.318,0.00994,23140366,26527186,26654352,27813830,27959620,29068765,30485760,30485762,30742783,31730381
144,Lancet Planetary Health,"2,540",19.173,0.00859,29851585,31439314,31538622,31625512,31999949,32112747,32220678,32353293,32442486,33278373
144,Lancet Planetary Health,"2,540",19.173,0.00859,29851585,31439314,31538622,31625512,31999949,32112747,32220678,32353293,32442486,33278373
146,Applied Physics Reviews,"5,353",19.162,0.01123,30397419,32494338,32550960,32550961,32884608,33425087,34084253,34084254,34122684,34367402
147,DIABETES CARE,"85,997",19.112,0.0841,33298409,33298413,33298417,33298418,33298420,33298421,33298422,33298425,33298426,33298427
148,ANNALS OF THE RHEUMATIC DISEASES,"58,006",19.103,0.06443,32963052,32978237,33004335,33037004,33051219,33158877,33158879,33158881,33268442,33272960
149,Lancet Haematology,"5,140",18.959,0.01502,27890071,29032958,31471005,32359447,32589967,32589968,32853576,32853577,33242437,33357471
150,ADVANCED FUNCTIONAL MATERIALS,"151,020",18.808,0.20645,28824357,29755309,29805350,31123431,32684905,32684908,32774200,32774203,32952493,33510596
151,Annual Review of Clinical Psychology,"8,484",18.561,0.00895,17716080,23394227,23394228,24313570,25594880,26772209,29328780,29401044,30525995,30786241
151,Annual Review of Clinical Psychology,"8,484",18.561,0.00895,17716080,23394227,23394228,24313570,25594880,26772209,29328780,29401044,30525995,30786241
153,Annual Review of Fluid Mechanics,"14,688",18.511,0.00895,12741392,19784385,20072666,21151769,25360054,26236058,26594068,29713107,31631915,33012877
154,DRUG RESISTANCE UPDATES,"4,315",18.5,0.00418,26690340,26830313,27449595,27620956,27912842,30471641,31785545,31841768,32892147,33070093
155,Lancet Gastroenterology & Hepatology,"7,075",18.486,0.01875,22914296,24581682,25616312,26314490,27914655,27914657,30647010,31631858,31852635,32891214
156,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"9,303",18.464,0.00668,10138484,10165028,10345399,11481746,11481754,12500366,17288070,19361112,19361113,19544933
157,Annual Review of Organizational Psychology and Organizational Behavior,"2,947",18.333,0.00804,,,,,,,,,,
158,TRENDS IN PLANT SCIENCE,"29,531",18.313,0.02277,29428350,29530380,29735429,29970339,30279071,30446305,30745056,31727474,32407695,32675014
159,JAMA Neurology,"17,086",18.302,0.04336,31424481,31479105,31589278,31904807,32202592,32275288,32469387,32589189,32609336,32614385
160,Signal Transduction and Targeted Therapy,"3,848",18.187,0.00573,32561705,32712629,32759948,32782275,32879300,33028804,33028824,33051445,33110061,33414388
161,AMERICAN JOURNAL OF PSYCHIATRY,"48,206",18.112,0.03197,,,,,,,,,,
161,AMERICAN JOURNAL OF PSYCHIATRY,"48,206",18.112,0.03197,,,,,,,,,,
163,MOLECULAR CELL,"86,299",17.97,0.16184,32362314,32504556,32763226,32810436,32860741,32877642,32946743,32997964,33217317,33321093
164,Science Translational Medicine,"45,509",17.956,0.10378,32102933,32253226,32493791,32581136,32878978,32878979,33077678,33139519,33408182,33441423
